"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"India","Anopheles culicifacies (Sp. A)",4,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",11,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",8,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",6,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",3,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",4,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",0,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",2,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",2,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",0,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",4.93,10.5,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
